id,year,majortopic,subtopic,title,summary
1,1996,12,1205,"Nation's Smaller Jails Struggle To Cope With Surge in Inmates","Jails overwhelmed with hardened criminals"
2,1996,23,2300,"Dancing (and Kissing) In the New Year","new years activities"
3,1996,20,2012,"Forbes's Silver Bullet for the Nation's Malaise","Steve Forbes running for President"
4,1996,16,1602,"Up at Last, Bridge to Bosnia Is Swaying Gateway for G.I.'s ","U.S. military constructs bridge to help their mission in Bosnia"
5,1996,20,2012,"2 SIDES IN SENATE DISAGREE ON PLAN TO END FURLOUGHS","Democrats and Republicans can't agree on plan to end furloughs"
6,1996,10,1000,"A U.S. Agency, Once Powerful, Is Dead at 108 ","Interstate Commerce Commission stripped of most of its powers"
7,1996,5,503,"For More and More Job Seekers, An Aging Parent Is a Big Factor ","Companies trying to overcome relocation hurdles for job seekers"
8,1996,10,1002,"A Toll Road in California Offers A High-Tech Answer to Traffic","Private company builds highway guaranteed traffic free"
9,1996,19,1921,"Tokyo's Lights Lure the Young To Forsake Rural Way of Life","number of farmers declining in Japan"
10,1996,29,2900,"The New Year Is a New Story","college football bowl games"
11,1996,20,2001,"FEDERAL IMPASSE SADDLING STATES WITH INDECISION","Federal budget impasse affect on states"
12,1996,3,398,"Variant Gene Tied to a Love Of New Thrills","researchers find that novelty seekers have a particular variant of a gene"
13,1996,24,2400,"Pataki's Budget Plan in Brief: Amid Austerity, a Tax Break ","Pataki proposes state budget"
14,1996,15,1500,"BUSINESS WORLD; Outlook '96","Effect of deregulation on businesses"
15,1996,1,105,"Clinton the Conciliator Finds His Line in Sand","Bill Clinton seeking compromise on budget"
16,1996,17,1706,"JOB CUTS AT AT&T WILL TOTAL 40,000, 13% OF ITS STAFF ","AT&T job cut"
17,1996,19,1921,"Bosnian Officials Say Serbs Abducted 16 Near Sarajevo","Bosnian Serbs accused of abducting 16 civilians"
18,1996,1,105,"Senate G.O.P. Votes to Reopen Offices Shut in Budget Impasse","Republicans agree to open offices while talks continue on the Federal budget"
19,1996,26,2600,"What's Yellow and Red and White All Over?","bad weather and school"
20,1996,15,1502,"RECORD EARNINGS, BUT LESS SHARING ","company dividends at a record low"
21,1996,20,2012,"Long, Costly Prelude Does Little To Alter Plot of Presidential Race ","Contenders for 1996 Presedential elections"
22,1996,9,900,"Anti-Immigrant Mood Moves Asians to Organize","Growing political activity among Asian-Americans in response to anti-immigrant sentiment"
23,1996,29,2900,"Decisive Victory for Nebraska","college football"
24,1996,3,322,"Backing Natural Cures","County Council backs government-subsidized natural medicine clinic"
25,1996,3,331,"In an About-Face, U.S. Says Alcohol Has Health Benefits ","Update on the Dietary Guidelines for Americans"
26,1996,24,2400,"Let the (New York) Budget Battle Begin","NY state budget battle"
27,1996,3,398,"A PROTEIN TELLS EATERS TO STOP","Scientists discover protein that tells eaters when to stop"
28,1996,24,2400,"Burst Pipe in Queens Leaves A Big Hole and Big Questions","water pipe bursts"
29,1996,1,105,"BATTLE OVER THE BUDGET: THE OVERVIEW; HOUSE LAWMAKERS REJECT DOLE PLAN TO REOPEN OFFICES","Battle over Federal budget"
30,1996,16,1602,"NATO Presses Serbs To Release Civilians","NATO presses Serbs to release 16 Bosnian citizens"
31,1996,19,1921,"Top Leader of the Bosnian Serbs Now Under Attack From Within","Bosnian Serb leader criticized from within"
32,1996,26,2600,"'95 Is Hottest Year on Record As the Global Trend Resumes","Hottest year on record"
33,1996,1,105,"The Ripple Grows","Budget impasse leaving offices closed"
34,1996,15,1500,"Retailers Call Sales in December Worst Since '90-'91 Recession","Retailers experiencing poor sales"
35,1996,12,1201,"Colleague's Funeral Is a Lesson in Firefighters' Vulnerability","unpredictable destiny for firefighters"
36,1996,5,504,"Workers Strike Office Towers In Manhattan","maintenance workers go on strike"
37,1996,3,322,"Deaths at Hospital Said Not to Reflect Systemwide Flaws","problems at one hospital said not to refelct sytemwide flaws"
38,1996,3,398,"Atoms of Antimatter Created by Physicists","atoms of antihydrogen created by scientists"
39,1996,20,2010,"Memo Places Hillary Clinton At Core of Travel Office Case","Hilary Clinton placed at core of travel office dismissals"
40,1996,16,1602,"Under Pressure by NATO, Bosnian Serbs Free Captives ","Bosnian Serbs release captives after NATO pressure"
41,1996,1,105,"BATTLE OVER THE BUDGET: THE OVERVIEW; LEADERS IN HOUSE DROP G.O.P. PLAN ON U.S. WORKERS","Battle over budget: Republican leaders abandon strategy of using closed Government offices"
42,1996,19,1921,"U.S. Rights Group Asserts China Lets Thousands of Orphans Die","human rights group asserts China lets thousands of orphans die"
43,1996,19,1921,"Japan Premier Resigns in Sign Of a Party Shift","Prime Minister of Japan resigns"
44,1996,30,3000,"Lincoln Kirstein, City Ballet Co-Founder, Dies ","Lincoln Kirstein dies at 88"
45,1996,1,105,"CONGRESS VOTES TO RETURN 760,000 TO FEDERAL PAYROLL AND RESUME SOME SERVICES; Republicans' Boomerang ","congress votes to end government shutdown"
